name,lng,lat,address
成都博物馆新馆,104.070117,30.663395,四川省成都市青羊区小河街1号
四川博物院,104.040528,30.667087,四川省成都市青羊区浣花南路251号
成都金沙遗址博物馆,104.019116,30.687743,成都市青羊区金沙遗址路2号
成都武侯祠博物馆,104.054572,30.652582,四川省成都市武侯区武侯祠大街231号
生命奥秘博物馆(今站购物中心店),104.073031,30.663908,四川省成都市青羊区人民中路一段天府广场今站购物中心负一楼
成都杜甫草堂博物馆,104.034848,30.666397,四川省成都市青羊区青华路37号
刘氏庄园博物馆,103.634052,30.510961,四川省成都市大邑县安仁镇金桂街15号
四川建川博物馆聚落,103.625911,30.505879,成都市大邑县安仁镇迎宾路
水井坊博物馆,104.092673,30.651457,成都市锦江区水井街19~25号
泰迪熊博物馆,103.803947,30.643968,四川省成都市温江区金湖大道299号
成都蜀锦织绣博物馆,104.043402,30.663465,四川省成都市青羊区草堂东路18号
三和老爷车博物馆,104.047723,30.603421,四川省成都市高新区机场路新园南一路2号
易园园林艺术博物馆,104.021237,30.724049,四川省成都市金牛区金泉路8号
成都永陵博物馆,104.053619,30.680898,四川省成都市金牛区永陵路10号
成都大熊猫博物馆,104.152978,30.739657,外北三环熊猫大道1375号成都大熊猫繁育研究基地内
成都川菜博物馆,103.936435,30.901657,三道堰镇荣华北巷8号
许燎源现代设计艺术博物馆,104.162948,30.588908,成都市锦江区红砂联合3组303号
都江堰市博物馆,103.62526,30.991508,成都市都江堰市新乐巷2号
成都自然博物馆,104.150995,30.684748,成都市成华区成华大道十里店路88号
四川崇州天演博物馆,103.709565,30.63724,成都市崇州市金鸡路1306号
拾野自然博物馆(欢乐颂购物中心店),104.100575,30.667702,四川省成都市成华区双林路339号A栋3层
电子科技博物馆,103.933866,30.756018,四川省成都市郫都区银杏大道
澄园书画艺术博物馆,103.832841,30.691364,成都市温江区南熏大道三段702号
四川大学-自然博物馆,104.097634,30.641467,四川省成都市武侯区望江路19号
鹿野苑石刻艺术博物馆,103.875419,30.888034,四川省成都市郫都区近郊新民场镇云桥村
成都海昌极地海洋公园,104.080284,30.500214,成都市天府新区华阳海洋路68号
立巢航空博物馆,104.067201,30.575118,四川省成都市武侯区天府大道北段1700号环球中心西商业W3号
新津区纯阳观博物馆,103.802847,30.427987,成都市新津区纯阳路313号
彭州博物馆,103.935348,30.993754,成都市彭州市金彭西路403号
崇州市博物馆,103.684827,30.634634,大东街304号
成都市郫都区博物馆,103.879885,30.814631,望丛中路5号
蝴蝶博物馆,104.152072,30.73914,外北三环熊猫大道1375号成都大熊猫繁育研究基地游客中心F2
郫都区豆瓣博物馆,103.79953,30.945191,四川省成都市郫都区战旗村西南
汶川大地震博物馆,103.62494,30.506039,四川省成都市大邑县迎宾路二段550(建川博物馆聚落旅游区)
天府华阳博物馆,104.059162,30.523715,四川省成都市天府新区华阳街道安公路二段256号
新都杨升庵博物馆,104.166232,30.82915,新都镇桂湖中路89号
成都失恋博物馆(龙湖北城天街购物广场南馆龙湖北城天街购物中心店),104.071548,30.715393,五福桥东路229号龙湖北城天街购物广场28栋(龙湖北城天街购物中心店)F5
成都乌木艺术博物馆,103.621458,30.928926,四川省成都市都江堰市中兴镇花木城内
