name,lng,lat,address
树夏·生榨鲜果茶(建设路店),104.10923,30.676795,四川省成都市成华区建设中路15号
树夏(金色校园广场店),103.997108,30.555497,四川省成都市双流区长城路二段481号
树夏·生榨鲜果茶(二十四城店),104.123387,30.650327,四川省成都市成华区双成三路15号附73号
树夏(成都银泰城店),104.06485,30.546907,四川省成都市高新区益州大道中段1999号成都银泰城F1
树夏(中铁西城·新天地店),103.970183,30.678981,四川省成都市青羊区光华东二路98号中铁西城·新天地F1
树夏(龙湖时代天街店),103.926715,30.758338,成都市郫都区合信路龙湖时代天街
树夏(伊藤洋华堂绿地店),104.162074,30.611386,四川省成都市锦江区喜树街35号伊藤洋华堂F6
树夏·生榨鲜果茶(龙湖成都滨江天街店),104.132743,30.672287,四川省成都市成华区新成华大道与杉板桥南四路交叉口龙湖成都滨江天街F4
树夏·生榨鲜果茶(动物园店),104.110435,30.719056,四川省成都市成华区昭觉寺南路270号1号楼104号
树夏·生榨鲜果茶(大悦城店),104.017074,30.632666,成都市武侯区大悦路518号成都大悦城F4
树夏·生榨鲜果茶(大悦城店),104.017074,30.632666,成都市武侯区大悦路518号成都大悦城F4
树夏生榨鲜果茶(锦华万达店),104.102396,30.62568,四川省成都市锦江区锦华路一段68号万达广场4号门126B
树夏(百盛购物中心四川时代店),104.08729,30.662294,成都市锦江区总府路2附1号百盛购物中心(四川时代店)B1
树夏(成都远大购物中心B馆店),104.077666,30.533346,成都市双流区远大购物中心B馆4楼417号
树夏·生榨鲜果茶(金楠天街店),104.002779,30.653979,四川省成都市武侯区晋阳路313号龙湖成都金楠天街F1
树夏(温江财大店),103.833354,30.689221,四川省成都市温江区柳浪湾北一街234号
树夏·生榨鲜果茶(仁恒置地广场店),104.0735,30.658004,成都市锦江区人民南路2段1号仁恒置地广场F4
树夏·生榨鲜果茶(中海天府环宇坊店),104.042866,30.483432,四川省成都市天府新区祥鹤三街398号中海天府环宇坊B1
树夏·生榨鲜果茶(星悦荟店),103.989394,30.626491,成都市武侯区来凤五路56号龙湖成都武侯星悦荟F1
树夏(熙悦汇店),103.987544,30.729124,四川省成都市金牛区蜀西路76号
树夏·生榨鲜果茶(博雅城市广场店),104.082466,30.520181,双流区(双流区)高新区中和街道新裕路491号博雅城市广场
树夏生榨鲜果茶(七一国际广场店),104.178907,30.828082,四川省成都市新都区金光路2号七一国际广场B1
树夏· 生榨鲜果茶(D5天祥店),104.074325,30.558589,四川省成都市武侯区天府大道中段500号D5东方希望天祥广场1栋附142号
树夏海昌店,104.087191,30.49643,四川省成都市双流区海昌路316号
树夏·生榨鲜果茶(九方店),104.071624,30.595853,四川省成都市武侯区自由贸易试验区成都高新区府城大道中段88号中航九方购物中心B1层ZDB102号
树夏·生榨鲜果茶(西宸天街店),104.037903,30.703738,四川省成都市金牛区花照壁西顺街399号首开·龙湖成都西宸天街F5
树夏生榨鲜果茶(金牛万达店),104.081595,30.69318,四川省成都市金牛区一环路北三段1号万达商业广场F1
树夏·生榨鲜果茶(阳光新业店),104.097314,30.648635,成都市锦江区一环路东五段87号阳光新业中心B1
